Ulice,Mesto,Pocet
Kuršova,Brno,88
Tuřanka,Brno,87
Kamínky,Brno,87
Bosonožská,Brno,87
Slovanské náměstí,Brno,86
Bořetická,Brno,86
Palachovo náměstí,Brno,85
Kovařovicova,Brno,85
náměstí republiky,Brno,84
Studentská,Brno,84
Křižíkova,Brno,84
Cornovova,Brno,82
Březinova,Brno,82
Skořepka,Brno,81
Lesnická,Brno,81
Františkánská,Brno,81
Pražská,Brno,80
Hoppova,Brno,80
Moldavská,Brno,79
Herčíkova,Brno,79
Valouškova,Brno,78
Rotalova,Brno,78
Poznaňská,Brno,78
Opavská,Brno,78
Novoměstská,Brno,78
Záhřebská,Brno,77
Pastviny,Brno,77
Kšírova,Brno,77
K babě,Brno,77
Hálkova,Brno,77
Durďákova,Brno,77
Špitálka,Brno,76
Sokolská,Brno,75
Zoubkova,Brno,74
Nopova,Brno,74
Švermova,Brno,73
Zvěřinova,Brno,73
Synkova,Brno,73
Akademická,Brno,73
Škroupova,Brno,72
U zoologické zahrady,Brno,72
Olomoucká,Brno,72
Josefy faimonové,Brno,72
Dubová,Brno,72
Čechyňská,Brno,71
Zámečnická,Brno,71
Wollmanova,Brno,70
Panská,Brno,70
Foerstrova,Brno,69
Charbulova,Brno,69
Vondrákova,Brno,68
Leitnerova,Brno,68
Hrázka,Brno,68
Blatnická,Brno,67
Opálkova,Brno,66
Korejská,Brno,66
Stránského,Brno,65
Kubánská,Brno,64
Ečerova,Brno,64
Vejrostova,Brno,63
Elišky krásnohorské,Brno,63
Ve vaňkovce,Brno,62
Těsnohlídkova,Brno,62
Rašínova,Brno,62
Havelkova,Brno,62
Řezáčova,Brno,61
Masná,Brno,61
Konopná,Brno,61
Hromádkova,Brno,61
Anenská,Brno,61
Šámalova,Brno,60
Řehořova,Brno,60
Ulička,Brno,60
Jemelkova,Brno,60
Špilberk,Brno,59
Sušilova,Brno,59
Charvatská,Brno,59
Veletržní,Brno,58
Pod nemocnicí,Brno,58
Mánesova,Brno,58
Mikulovská,Brno,58
Královopolská,Brno,58
Hutařova,Brno,58
Heršpická,Brno,58
Haškova,Brno,58
Turgeněvova,Brno,57
Plachty,Brno,57
Holzova,Brno,57
Bohuňova,Brno,57
Čeňka růžičky,Brno,56
Vinařská,Brno,56
V újezdech,Brno,56
Sedláčkova,Brno,56
kounicova,Brno,55
Družstevní,Brno,55
Dominikánská,Brno,55
Valtická,Brno,54
Svitavská,Brno,54
Stamicova,Brno,54
Ořechovská,Brno,54
Dvorského,Brno,54
Antonína macka,Brno,54
Štěpánská,Brno,53
náměstí svornosti,Brno,53
Medlánecká,Brno,53
Klusáčkova,Brno,53
Kamechy,Brno,53
Voroněžská,Brno,52
Pod mniší horou,Brno,52
Obřanská,Brno,52
Květinářská,Brno,52
Zdráhalova,Brno,51
Slovákova,Brno,51
Jírovcova,Brno,51
Stojanova,Brno,50
Brožíkova,Brno,50
