§ 27  odst.1 písm. r) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;539;;;
"Naøízení statutárního mìsta Brna è. 1/2002, kterým se vydává  ""Tržní øád""|§46 zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù";512;;;
èlánek è.1 Obecnì závazné vyhlášky statutárního mìsta Brna è.5/2010 o zákazu požívaní alkoholu na veøejném prostranství, za úèelem zabezpeèení místních záležitostí veøejného poøádku|§ 4 odst. 2 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;507;;;
§ 39 odst.4 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;444;;;
èlánek è.1 Obecnì závazné vyhlášky statutárního mìsta Brna è.9/2017 o pravidlech pro pohyb psù|§ 4 odst. 2 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;421;;;
§ 25 odst.1 písm.b) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;418;;;
§ 67 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 11 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;391;;;
§ 53 odst. 2, zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;331;;;
§ 39 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;313;;;
§ 27  odst.1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;263;;;
