ulice,město,celkem,dopravní
Filipova,Brno,37,33
Filipínského,Brno,6,4
Filkukova,Brno,1,1
Fillova,Brno,42,38
Firemní,Brno,1,1
Fišova,Brno,10,10
Fleischnerova,Brno,28,26
Florianova,Brno,43,42
Foerstrova,Brno,69,66
Foltýnova,Brno,102,98
Foustkova,Brno,2,2
Francouzská,Brno,43,41
Františky Skaunicové,Brno,3,3
Františky Stránecké,Brno,4,4
Františkánská,Brno,81,79
Franzova,Brno,3,3
Fričova,Brno,3,3
Fryčajova,Brno,29,24
Fügnerova,Brno,8,6
Gabriely Preissové,Brno,46,45
Gajdošova,Brno,329,325
Galandauerova,Brno,11,11
Gallašova,Brno,10,9
Gargulákova,Brno,9,7
Gebauerova,Brno,28,27
Geislerova,Brno,31,29
Gellnerova,Brno,1,1
Glinkova,Brno,19,15
Glocova,Brno,1,1
Goldova,Brno,1,
Gorazdova,Brno,379,377
Gorkého,Brno,483,479
Grmelova,Brno,38,37
Grohova,Brno,105,102
Gromešova,Brno,3,3
Gruzínská,Brno,96,93
Haasova,Brno,19,17
Habřinova,Brno,1,1
Halasovo Náměstí,Brno,91,49
Hansmannova,Brno,15,15
Hanácká,Brno,6,2
Hapalova,Brno,28,22
Havelkova,Brno,62,59
Havlenova,Brno,124,114
Havlišova,Brno,26,26
Havláskova,Brno,1,1
Havlíčkova,Brno,35,35
Havraní,Brno,7,5
Havránkova,Brno,32,32
Haškova,Brno,58,54
Heinrichova,Brno,19,19
Helceletova,Brno,2,2
Heleny Malířové,Brno,41,36
Helenčina,Brno,13,13
Helfertova,Brno,869,869
Herbenova,Brno,3,3
Herčíkova,Brno,79,72
Heršpická,Brno,58,20
Heydukova,Brno,1,
Heyrovského,Brno,38,37
Heřmánková,Brno,1,1
Hilleho,Brno,28,28
Hladíkova,Brno,1,
Hlavní,Brno,216,211
Hlaváčkova,Brno,15,15
Hlaváčova,Brno,12,12
Hlinky,Brno,594,591
Hliník,Brno,2,
Hluboká,Brno,1,
Hněvkovského,Brno,294,287
Hoblíkova,Brno,30,20
Hochmanova,Brno,17,14
Hodonínská,Brno,42,36
Holandská,Brno,312,297
Holzova,Brno,57,55
Hoppova,Brno,80,78
Horní,Brno,12,10
Horníkova,Brno,32,27
Horova,Brno,197,191
Horská,Brno,2,1
Horymírova,Brno,2,1
Horácké Náměstí,Brno,117,109
Horákova,Brno,8,7
Hostinského,Brno,120,120
Hostislavova,Brno,1,1
Houbalova,Brno,17,4
Houškova,Brno,1,1
Hoštická,Brno,17,15
Hrad Veveří,Brno,1,1
Hrad Špilberk,Brno,1,1
Hradecká,Brno,154,39
Hraničky,Brno,18,16
Hrnčířská,Brno,414,401
Hromádkova,Brno,61,60
Hroznová,Brno,3,1
Hrozňatova,Brno,7,6
Hrubého,Brno,22,22
Hrušňová,Brno,2,2
Hrázka,Brno,68,66
Hrázní,Brno,584,540
Hubrova,Brno,8,5
Hudcova,Brno,47,41
Hujíčkova,Brno,1,1
Humenná,Brno,8,8
Husitská,Brno,222,217
Husova,Brno,312,310
Husovická,Brno,41,37
Husovický Tunel,Brno,1,1
Hutařova,Brno,58,57
Hviezdoslavova,Brno,9,3
Hvozdecká,Brno,45,44
Hvězdová,Brno,176,171
Hvězdárenská,Brno,6,6
Hybešova,Brno,1435,1419
Hájkova,Brno,11,8
Hálkova,Brno,77,74
Högrova,Brno,6,6
Húskova,Brno,33,27
Ibsenova,Brno,36,35
Irkutská,Brno,23,20
Ivanovické Náměstí,Brno,6,5
Jabloňová,Brno,13,12
Jahodová,Brno,7,3
Jakuba Obrovského,Brno,32,25
Jakubská,Brno,95,95
Jakubské Náměstí,Brno,203,202
Jamborova,Brno,31,31
Jana Babáka,Brno,103,97
Jana Nečase,Brno,5,5
Jana Svobody,Brno,31,30
Jana Uhra,Brno,295,279
Jandáskova,Brno,1,1
Janouškova,Brno,38,31
Janáčkovo Náměstí,Brno,14,14
Jarní,Brno,6,4
Jasanová,Brno,16,9
Jaselská,Brno,105,105
Javorová,Brno,1,1
Jedlová,Brno,4,4
Jedovnická,Brno,43,36
Jehličnatá,Brno,3,3
Jehnická,Brno,3,3
Jelínkova,Brno,14,14
Jemelkova,Brno,60,58
Jeneweinova,Brno,35,29
Jeronýmova,Brno,16,15
Jezerní,Brno,1,
Jezuitská,Brno,430,421
Ječná,Brno,25,24
Jeřabinová,Brno,4,4
Jeřábkova,Brno,16,16
Ježkova,Brno,8,6
Jihlavská,Brno,306,295
Jihomoravské Náměstí,Brno,15,6
Jilemnického,Brno,24,23
Jindřichova,Brno,18,14
Jircháře,Brno,18,17
Jiránkova,Brno,11,9
Jiráskova,Brno,191,190
Jiříkovského,Brno,12,12
Jižní Náměstí,Brno,1,
Josefská,Brno,140,129
Josefy Faimonové,Brno,72,59
Joukalova,Brno,11,11
Joštova,Brno,134,128
Joštova-6,Brno,2,2
Jožky Jabůrkové,Brno,1,1
Jubilejní,Brno,3,
Jugoslávská,Brno,552,535
Juliánovské Náměstí,Brno,28,4
Jundrov,Brno,1,1
Jundrovská,Brno,5,2
Jungmannova,Brno,15,14
Junácká,Brno,2,2
Juranka,Brno,1,
Jurkovičova,Brno,10,10
Jánošíkova,Brno,5,3
Jánská,Brno,221,218
Járy Cimrmana,Brno,2,2
Jílkova,Brno,43,35
Jílová,Brno,40,22
Jírova,Brno,40,17
Jírovcova,Brno,51,44
K Babě,Brno,77,75
K Bukovinám,Brno,7,6
K Dálnici,Brno,3,3
K Lesu,Brno,5,4
K Lázinkám,Brno,1,1
K Rybníku,Brno,5,5
K Sídlišti,Brno,1,1
K Terminálu,Brno,12,12
K Západi,Brno,9,4
Kabátníkova,Brno,10,10
Kachlíkova,Brno,24,20
Kainarova,Brno,3,3
Kaleckého,Brno,14,14
Kallabova,Brno,15,14
Kaloudova,Brno,9,9
Kalvodova,Brno,13,13
Kamanova,Brno,30,29
Kamechy,Brno,53,12
Kamenačky,Brno,26,26
Kamenice,Brno,173,102
Kamenná,Brno,97,94
Kamenomlýnský Most,Brno,2,2
Kameníčkova,Brno,6,5
Kampelíkova,Brno,6,6
Kamínky,Brno,87,80
Kapucínské Náměstí,Brno,686,684
Karkulínova,Brno,1,
Karlova,Brno,4,4
Karolíny Světlé,Brno,3,1
Karpatská,Brno,2,2
Kartouzská,Brno,31,28
Karáskovo Náměstí,Brno,37,32
Kavčí,Brno,16,15
Kaštanová,Brno,32,21
Ke Statku,Brno,27,26
Kejbaly,Brno,8,8
Kellnerova,Brno,4,4
Keřová,Brno,8,8
Kigginsova,Brno,13,13
Kladivova,Brno,9,9
Klajdovská,Brno,13,12
Klarisky,Brno,24,24
Klatovská,Brno,169,63
Klecandova,Brno,9,9
Klimešova,Brno,7,1
Klobouček,Brno,1,1
Klobásova,Brno,6,5
Klokočí,Brno,1,1
Kluchova,Brno,9,8
Klusáčkova,Brno,53,53
Klácelova,Brno,16,16
Klášterského,Brno,6,3
Klímova,Brno,90,49
Klíny,Brno,10,10
Klíčova,Brno,44,44
Kneslova,Brno,31,21
Kníničská,Brno,10,1
Kobližná,Brno,104,100
Kobylnická,Brno,4,2
Kociánka,Brno,3,
Kohoutova,Brno,11,11
Kohoutovická,Brno,5,2
Kolaříkova,Brno,36,32
Kolejní,Brno,175,122
Koliště,Brno,187,179
Kollárova,Brno,28,27
Koláčkova,Brno,6,6
Kolískova,Brno,10,9
Komenského Náměstí,Brno,41,40
Komprdova,Brno,7,6
Komárovská,Brno,8,8
Komárovské Nábřeží,Brno,3,1
Komínská,Brno,32,32
Konečného Náměstí,Brno,12,11
Koniklecová,Brno,186,167
Konopná,Brno,61,60
Konradova,Brno,35,28
Konrádova,Brno,1,
Koperníkova,Brno,31,29
Kopečná,Brno,523,518
Korejská,Brno,66,65
Kosmonautů,Brno,18,15
Kosmova,Brno,24,4
Kosmákova,Brno,37,32
Kosíkova,Brno,6,6
Kotkova,Brno,2,2
Kotlanova,Brno,27,22
Kotlářská,Brno,253,247
Kotulánova,Brno,1,
Kotěrova,Brno,19,6
Kounicova,Brno,2146,2078
Koutného,Brno,5,2
Kovařovicova,Brno,85,84
Kovácká,Brno,10,5
Kovářská,Brno,2,1
Kozí,Brno,105,100
Kozí Horka,Brno,2,2
Kořenského,Brno,2,2
Kořískova,Brno,13,12
Košinova,Brno,42,38
Košuličova,Brno,2,1
Koželužská,Brno,4,4
Krajní,Brno,1,1
Krasová,Brno,2,1
Krausova,Brno,20,9
Kraví Hora,Brno,98,19
Krejčího,Brno,6,6
Kremličkova,Brno,6,6
Kristenova,Brno,22,22
Krkoškova,Brno,25,25
Kroftova,Brno,5,4
Krokova,Brno,25,13
Kroměřížská,Brno,10,8
Krondlova,Brno,4,3
Kronova,Brno,2,2
Kroupova,Brno,5,3
Krymská,Brno,33,30
Králova,Brno,7,6
Královka,Brno,1,1
Královopolská,Brno,58,51
Královopolský Tunel,Brno,1,
Krásného,Brno,124,102
Kubelíkova,Brno,3,3
Kubešova,Brno,20,20
Kubova,Brno,3,2
Kubánská,Brno,64,48
Kubíkova,Brno,7,5
Kubíčkova,Brno,558,536
Kudelova,Brno,39,38
Kuklenská,Brno,3,3
Kuldova,Brno,107,100
Kunzova,Brno,15,15
Kunštátská,Brno,9,9
Kupkova,Brno,13,13
Kurská,Brno,106,34
Kuršova,Brno,88,76
Kučerova,Brno,1,
Kuřimská,Brno,3,3
Kvapilova,Brno,8,8
Květinářská,Brno,52,51
Květná,Brno,3,3
Kyjevská,Brno,89,87
Kytnerova,Brno,2,2
Kárníkova,Brno,6,3
Káčata,Brno,7,
