ulice,město,celkem,dopravní
Roviny,Brno,9,3
Rovná,Brno,6,6
Rozdrojovická,Brno,7,7
Rozmarýnová,Brno,7,
Rozárka,Brno,2,1
Rudišova,Brno,11,10
Rumiště,Brno,95,78
Ruská,Brno,20,19
Ruský Vrch,Brno,1,
Rybkova,Brno,250,249
Rybnická,Brno,10,7
Rybníček,Brno,20,20
Rybářská,Brno,47,46
Rybízová,Brno,5,5
Rygle,Brno,2,2
Rysova,Brno,9,8
Ryšánkova,Brno,30,28
Rázusova,Brno,11,10
Ríšova,Brno,4,4
Růžová,Brno,1,1
Sadařská,Brno,1,
Sadovského,Brno,7,7
Sady,Brno,4,4
Sady Osvobození,Brno,3,
Salajní,Brno,3,
Samoty,Brno,1,
Scheinerova,Brno,6,5
Schodová,Brno,5,5
Schreberovy Zahrádky,Brno,6,
Schwaigrova,Brno,40,36
Sedla,Brno,1,1
Sedlákova,Brno,6,6
Sedláčkova,Brno,56,29
Seifertova,Brno,346,311
Sejkorova,Brno,3,3
Sekaninova,Brno,6,5
Selská,Brno,11,11
Sevastopolská,Brno,99,94
Sevřená,Brno,1,1
Sibiřská,Brno,12,11
Sirotkova,Brno,95,95
Skalní,Brno,2,
Skandinávská,Brno,106,70
Skopalíkova,Brno,93,88
Skorkovského,Brno,22,15
Skořepka,Brno,81,81
Skryjova,Brno,3,3
Skutilova,Brno,5,5
Skácelova,Brno,114,113
Skřivanova,Brno,118,115
Skřivánčí,Brno,1,
Sladkovského,Brno,4,4
Sladkého,Brno,2,
Sladovnická,Brno,5,
Sladová,Brno,23,23
Slatinka,Brno,1,
Slatinská,Brno,10,10
Slavkovská,Brno,5,2
Slavíčkova,Brno,88,87
Slepá,Brno,24,23
Slevačská,Brno,7,4
Slezská,Brno,6,5
Slovanské Náměstí,Brno,86,81
Slovinská,Brno,43,41
Slovákova,Brno,51,50
Slunečná,Brno,10,9
Sládkova,Brno,4,2
Slámova,Brno,49,45
Slívova,Brno,25,3
Smetanova,Brno,565,561
Sobolova,Brno,4,4
Sobotkova,Brno,4,4
Soběšická,Brno,31,23
Sochorova,Brno,179,171
Sokolnická,Brno,6,4
Sokolova,Brno,596,588
Sokolská,Brno,75,75
Solniční,Brno,150,147
Sosnová,Brno,1,1
Souběžná,Brno,47,41
Soudní,Brno,41,36
Souhrady,Brno,24,17
Soukenická,Brno,129,129
Soukopova,Brno,11,11
Sousední,Brno,1,
Součkova,Brno,13,13
Sovinec,Brno,1,1
Sovova,Brno,8,8
Splaviska,Brno,1,
Spodní,Brno,131,126
Spojovací,Brno,16,13
Spolková,Brno,12,11
Sportovní,Brno,90,55
Spálená,Brno,8,3
Spáčilova,Brno,31,31
Spěšná,Brno,4,3
Srbská,Brno,177,162
Srnčí,Brno,3,3
Stamicova,Brno,54,39
Starobrněnská,Brno,369,359
Stará,Brno,32,31
Stará Dálnice,Brno,12,11
Stará Osada,Brno,247,103
Staré Náměstí,Brno,5,3
Stavební,Brno,6,3
Staňkova,Brno,297,291
Stejskalova,Brno,7,5
Stojanova,Brno,50,50
Strakatého,Brno,10,8
Strmá,Brno,6,5
Strnadova,Brno,26,21
Stromovka,Brno,1,1
Stránská,Brno,4,
Stránského,Brno,65,43
Strážnická,Brno,2,1
Strážní,Brno,1,
Studentská,Brno,84,46
Studená,Brno,5,1
Studniční,Brno,1,1
Studánka,Brno,150,149
Střední,Brno,164,158
Středova,Brno,28,28
Střelnice,Brno,2,1
Střížova,Brno,1,1
Sukova,Brno,202,202
Suzova,Brno,6,6
Sušilova,Brno,59,56
Svahová,Brno,2,2
Svatopetrská,Brno,10,7
Svatopluka Čecha,Brno,120,118
Svatoplukova,Brno,101,88
Svitavská,Brno,54,46
Svitavské Nábřeží,Brno,10,6
Svratecká,Brno,560,551
Svážná,Brno,458,438
Synkova,Brno,73,37
Síčka,Brno,1,1
Sýpka,Brno,39,39
Talichova,Brno,2,2
Taussigova,Brno,2,2
Technická,Brno,219,200
Tenorova,Brno,3,2
Terasová,Brno,1,1
Tererova,Brno,6,5
Terezy Novákové,Brno,103,98
Teslova,Brno,2,1
Teyschlova,Brno,330,319
Tichého,Brno,2,2
Tilhonova,Brno,5,
Tišnovská,Brno,43,43
Tkalcovská,Brno,121,12
Tolstého,Brno,5,4
Tomanova,Brno,14,13
Tomečkova,Brno,34,34
Tomešova,Brno,2,2
Tomkovo Náměstí,Brno,2,2
Tomáškova,Brno,5,5
Topolky,Brno,27,27
Tovačovského,Brno,2,2
Točná,Brno,27,26
Traubova,Brno,154,152
Trnitá,Brno,221,221
Trnkova,Brno,395,384
Troubská,Brno,3,3
Trtílkova,Brno,2,1
Trávníky,Brno,14,14
Trávníčkova,Brno,6,6
Trýbova,Brno,119,117
Tržní,Brno,9,6
Tuháčkova,Brno,3,3
Tumaňanova,Brno,1,1
Turgeněvova,Brno,57,36
Turistická,Brno,42,41
Tučkova,Brno,127,122
Tuřanka,Brno,87,79
Tuřanská,Brno,1,
Tuřanské Náměstí,Brno,6,2
Tvrdonická,Brno,3,1
Tvrdého,Brno,49,49
Tylova,Brno,11,11
Tyršova,Brno,88,88
Tyršův Sad,Brno,12,
Tábor,Brno,108,101
Táborská,Brno,378,346
Táborského Nábřeží,Brno,11,11
Těsnohlídkova,Brno,62,62
Těšínská,Brno,41,40
Těžební,Brno,21,18
Třída Generála Píky,Brno,97,88
Třída Kpt. Jaroše,Brno,1034,1032
Třískalova,Brno,18,18
Tůmova,Brno,4,4
U Hřiště,Brno,46,42
U Křivé,Brno,4,2
U Leskavy,Brno,3,1
U Luhu,Brno,3,3
U Potoka,Brno,7,1
U Pošty,Brno,254,138
U Sokolovny,Brno,6,5
U Velké,Brno,12,10
U Viaduktu,Brno,33,33
U Vlečky,Brno,9,8
U Vodárny,Brno,204,202
U Zoologické Zahrady,Brno,72,69
U Červeného,Brno,14,13
Uhelná,Brno,1200,1180
Uhlířova,Brno,1,
Ukrajinská,Brno,131,121
Ulice Kosmonautů,Brno,23,21
Ulice Ulice,Brno,1,1
Ulice Čoupkových,Brno,16,15
Ulička,Brno,60,47
Ulička Václava Havla,Brno,1,1
Uprkova,Brno,4,4
Urbánkova,Brno,12,11
Urxova,Brno,3,3
Uzavřená,Brno,2,
Uzbecká,Brno,128,126
V Aleji,Brno,47,45
V Luzích,Brno,1,
V Nové,Brno,3,2
V Újezdech,Brno,56,55
Vachova,Brno,24,21
Vackova,Brno,14,13
Vaculíkova,Brno,41,39
Valašská,Brno,4,3
Valcha,Brno,13,13
Valchařská,Brno,23,19
Valouškova,Brno,78,71
Valtická,Brno,54,43
Vaníčkova,Brno,1,1
Vančurova,Brno,2,1
Vavřinecká,Brno,18,7
Vaňhalova,Brno,278,273
Vaňkovka,Brno,3,
Vaňkovo Náměstí,Brno,4,4
Vaškova,Brno,2,1
Ve Vaňkovce,Brno,62,8
Vedlejší,Brno,30,30
Vejrostova,Brno,63,51
Veleckého,Brno,4,4
Veleslavínova,Brno,6,5
Veletržní,Brno,58,58
Velkopavlovická,Brno,146,119
Velká Klajdovka,Brno,1,1
Venhudova,Brno,39,38
Veselá,Brno,1413,1393
Veslařská,Brno,166,161
Veveří,Brno,2098,1043
Vilová,Brno,1,
Vinařického,Brno,40,40
Vinařská,Brno,56,49
Viniční,Brno,461,429
Vinohradská,Brno,9,
Vinohrady,Brno,31,25
Vitáskova,Brno,2,2
Višňová,Brno,1,
Vlasty Fialové,Brno,1,1
Vlasty Pittnerové,Brno,1,
Vlhká,Brno,135,131
Vlkova,Brno,10,6
Vlnitá,Brno,12,7
Vltavská,Brno,39,37
Vlárská,Brno,3,1
Vlčnovská,Brno,30,30
Vnitřní,Brno,6,6
Vodařská,Brno,6,2
Vodní,Brno,220,212
Vodova,Brno,178,166
Vohnoutova,Brno,3,2
Vojanova,Brno,11,8
Vojtova,Brno,102,102
Volejníkova,Brno,3,3
Volfova,Brno,5,5
Vomáčkova,Brno,3,3
Vondrákova,Brno,68,31
Voroněžská,Brno,52,29
Voříškova,Brno,263,241
Vranovská,Brno,250,238
Vrbenského,Brno,5,5
Vrbovecká,Brno,1,1
Vrchlického Sad,Brno,109,106
Vránova,Brno,20,19
Vrázova,Brno,31,26
Vsetínská,Brno,27,25
Vychodilova,Brno,101,87
Vycházková,Brno,2,
Vyhlídalova,Brno,10,10
Vyhlídka,Brno,1,1
Vymazalova,Brno,4,3
Vysoká,Brno,10,10
Vyškovská,Brno,4,1
Vzdálená,Brno,1,
Vzhledná,Brno,6,6
Václavkova,Brno,6,5
Václavská,Brno,292,287
Vápenka,Brno,6,6
Vážného,Brno,35,35
Vídeňská,Brno,347,238
Vítězná,Brno,15,15
Vítězslavy Kaprálové,Brno,9,9
Výhon,Brno,5,4
Výletní,Brno,5,4
Výstavní,Brno,184,183
Výzkumní,Brno,1,1
Výšina,Brno,9,9
Věstonická,Brno,102,97
Větrná,Brno,22,20
Všetičkova,Brno,18,18
Wainerovo Náměstí,Brno,7,
Weissova,Brno,4,4
Wilsonův Les,Brno,12,
Wintrova,Brno,1,
Wollmanova,Brno,70,70
Wurmova,Brno,6,6
Ypsilantiho,Brno,35,33
Za Divadlem,Brno,626,615
Za Kněžským,Brno,4,4
Za Kostelem,Brno,7,5
Za Mostem,Brno,26,10
Za Parkem,Brno,1,1
Za Vodojemem,Brno,3,3
Za Školou,Brno,8,8
Zachova,Brno,5,5
Zahradnická,Brno,195,191
Zahradníkova,Brno,285,281
Zaječí Hora,Brno,29,29
Zamilovaný Hájek,Brno,1,
Zapletalova,Brno,171,170
Zatloukalova,Brno,1,
Zavřená,Brno,11,11
Zborovská,Brno,174,169
Zderadova,Brno,11,9
Zdráhalova,Brno,51,45
Zeiberlichova,Brno,29,28
Zeleného,Brno,10,8
Zelná,Brno,4,1
Zelný Trh,Brno,1075,1067
Zemkova,Brno,11,11
Zemědělská,Brno,269,236
Zengrova,Brno,1,1
Zeyerova,Brno,4,4
Zezulova,Brno,1,1
Zikova,Brno,11,7
Zlatníky,Brno,2,2
Zlínská,Brno,4,4
Zoubkova,Brno,74,74
Zubatého,Brno,4,2
Zvonařka,Brno,17,13
Zvěřinova,Brno,73,31
Zábranského,Brno,3,2
Zábrdovická,Brno,29,23
Záhumní,Brno,7,7
Záhřebská,Brno,77,44
Zájezdní,Brno,1,
Zákoutí,Brno,2,1
Zámecká,Brno,91,83
Zámečnická,Brno,71,68
Závist,Brno,2,2
Závodní,Brno,1,1
Závodského,Brno,1,1
Závětří,Brno,2,2
Zázmolí,Brno,2,2
Údolní,Brno,1222,1210
Údolí Oddechu,Brno,2,
Úhledná,Brno,1,1
Újezdy,Brno,1,
Úlehle,Brno,2,1
Úpatní,Brno,17,16
Útěchovská,Brno,16,13
Úvoz,Brno,348,345
Úzká,Brno,148,9
Čajkovského,Brno,14,14
Čechyňská,Brno,71,68
Čejkova,Brno,2,2
Čejkovická,Brno,23,18
Čermákova,Brno,29,27
Černohorská,Brno,102,100
Černopolní,Brno,641,630
Černovická,Brno,23,20
Černovické Nábřeží,Brno,5,1
Černovičky,Brno,9,1
Černozemní,Brno,1,
Černého,Brno,297,231
Černíkova,Brno,1,1
Čertova Rokle,Brno,2,
Červený Kopec,Brno,5,5
Červinkova,Brno,18,18
Česká,Brno,39,28
Čeňka Růžičky,Brno,56,54
Čichnova,Brno,16,5
Čihadla,Brno,1,
Čtvrtě,Brno,8,8
Čápkova,Brno,167,164
Řehořova,Brno,60,52
Řezáčova,Brno,61,53
Řečkovická,Brno,9,
Římské Náměstí,Brno,2,
Řípská,Brno,133,66
Říčanská,Brno,35,30
Šafaříkova,Brno,2,2
Šaldova,Brno,11,11
Šalounova,Brno,1,
Šaumannova,Brno,8,5
Šelepova,Brno,21,21
Šemberova,Brno,9,9
Šeránkova,Brno,25,25
Ševcova,Brno,2,2
Ševelova,Brno,3,1
Šeříková,Brno,1,1
Šikmá,Brno,1,1
Šilingrovo Náměstí,Brno,195,194
Šimáčkova,Brno,9,3
Široká,Brno,2,1
Škrobárenská,Brno,14,9
Škrochova,Brno,5,5
Škroupova,Brno,72,69
Škrétova,Brno,9,9
Škárova,Brno,4,4
Šmahova,Brno,17,14
Šmejkalova,Brno,27,24
Šmídkova,Brno,1,1
Šoustalova,Brno,7,7
Špačkova,Brno,3,3
Špilberk,Brno,59,42
Špitálka,Brno,76,74
Šromova,Brno,12,6
Šrámkova,Brno,8,7
Štefánikova,Brno,517,281
Štefáčkova,Brno,9,7
Štolcova,Brno,34,31
Štouračova,Brno,93,90
Štursova,Brno,10,9
Štýřické Nábřeží,Brno,16,16
Štěpánská,Brno,53,51
Šujanovo Náměstí,Brno,27,8
Šumavská,Brno,425,304
Švermova,Brno,73,58
Švermův Park,Brno,5,1
Švábenského,Brno,1,1
Švédská,Brno,4,4
Šámalova,Brno,60,45
Žabovřeská,Brno,1,
Žabovřeské Zahrádky,Brno,3,
Žabí,Brno,1,1
Žampachova,Brno,5,5
Žarošická,Brno,35,26
Žebětínek,Brno,1,1
Žebětínská,Brno,102,82
Železniční,Brno,12,7
Žerotínovo Náměstí,Brno,202,201
Žilkova,Brno,9,9
Žitná,Brno,46,45
Živného,Brno,25,25
Životského,Brno,18,4
Žižkova,Brno,152,143
Žleb,Brno,1,1
Žlutý Kopec,Brno,33,33
Žlíbek,Brno,1,1
