1;MISTO
2242;Pellicova
2078;Kounicova
1548;Benešova
1419;Hybešova
1415;Palackého Tøída
1393;Veselá
1293;Obilní Trh
1287;Rooseveltova
1217;Makovského Námìstí
1210;Údolní
1180;Uhelná
1094;Pekaøská
1067;Zelnı Trh
1043;Veveøí
1032;Tøída Kpt. Jaroše
956;Purkyòova
869;Helfertova
848;Netroufalky
825;Biskupská
798;Lidická
717;Bratislavská
684;Kapucínské Námìstí
658;Merhautova
657;Dornych
648;Mojmírovo Námìstí
630;Èernopolní
627;Rakovecká
615;Za Divadlem
597;Botanická
591;Hlinky
588;Sokolova
587;Polní
581;Mezírka
563;Nádraní
561;Smetanova
552;Oblá
551;Svratecká
540;Hrázní
536;Kubíèkova
535;Jugoslávská
518;Kopeèná
503;Dominikánské Námìstí
487;Cejl
479;Gorkého
453;Björnsenùv Sad
444;Mozartova
443;Pøadlácká
438;Sváná
429;Vinièní
426;Palcary
426;Mendlovo Námìstí
421;Poøíèí
421;Jezuitská
405;Køídlovická
401;Hrnèíøská
395;Bìhounská
386;Orlí
384;Trnkova
380;Námìstí 28. Øíjna
377;Gorazdova
359;Starobrnìnská
354;Petra Køivky
346;Táborská
346;Minská
345;Úvoz
337;Ponávka
331;Antonínská
330;Moravské Námìstí
325;Gajdošova
319;Teyschlova
311;Seifertova
310;Husova
306;Dìlnická
304;Šumavská
297;Holandská
295;Jihlavská
291;Staòkova
290;Provazníkova
288;Mášova
287;Václavská
287;Hnìvkovského
286;Pøístavní
281;Štefánikova
281;Zahradníkova
279;Jana Uhra
273;Vaòhalova
263;Beethovenova
249;Rybkova
249;Køenová
247;Kotláøská
245;Bezruèova
241;Voøíškova
238;Vídeòská
238;Vranovská
236;Zemìdìlská
235;Dunajská
231;Èerného
229;Divadelní
221;Trnitá
219;Rokytova
218;Petrská
218;Jánská
218;Dlouhá
217;Husitská
212;Vodní
211;Hlavní
207;Drobného
207;Cihláøská
203;Pøíkop
203;Malinovského Námìstí
202;U Vodárny
202;Sukova
202;Jakubské Námìstí
201;erotínovo Námìstí
200;Technická
197;Pálavské Námìstí
195;Luánecká
194;Šilingrovo Námìstí
194;Pod Kaštany
193;Novobranská
191;Zahradnická
191;Horova
190;Nové Sady
190;Jiráskova
187;Bašty
186;Døevaøská
183;Vıstavní
181;Novolíšeòská
179;Radnická
179;Kolištì
178;Nerudova
171;Sochorova
171;Hvìzdová
170;Zapletalova
169;Zborovská
168;Dvoøákova
168;Bayerova
167;Koniklecová
167;Dukelská Tøída
167;Bakalovo Nábøeí
166;Vodova
164;Èápkova
162;Srbská
162;Bieblova
161;Veslaøská
158;Støední
152;Traubova
151;Rolnická
150;Masarykova
149;Studánka
148;Boetìchova
147;Solnièní
147;Mathonova
143;ikova
140;Libušina Tøída
139;Prušánecká
138;U Pošty
135;Obvodová
135;Námìstí Svobody
131;Vlhká
129;Soukenická
129;Josefská
128;Neuilova
128;Joštova
126;Uzbecká
126;Spodní
126;Nováèkova
122;Tuèkova
122;Kolejní
121;Ukrajinská
120;Hostinského
119;Velkopavlovická
119;Netopırky
118;Svatopluka Èecha
118;Renneská Tøída
118;Bubeníèkova
117;Trıbova
115;Skøivanova
115;Nádvorní
114;Havlenova
114;Chodská
113;Skácelova
113;Pøírodní
113;Okrouhlá
113;Lıskova
113;Laštùvkova
112;Opletalova
111;Rerychova
111;Poštovská
109;Horácké Námìstí
109;Bulharská
107;Plovdivská
107;Lány
106;Vrchlického Sad
106;Podnikatelská
105;Labská
105;Jaselská
104;Mlınská
103;Stará Osada
102;Vojtova
102;Markùvky
102;Krásného
102;Kamenice
102;Grohova
101;Tábor
101;Plotní
100;Èernohorská
100;Molákova
100;Kuldova
100;Kozí
100;Kobliná
99;Pøíèní
99;Námìstí Snp
98;Terezy Novákové
98;Foltınova
97;Vìstonická
97;Jana Babáka
97;Burešova
95;Sirotkova
95;Jakubská
94;Sevastopolská
94;Kamenná
93;Lazaretní
93;Gruzínská
92;Luèní
90;Štouraèova
89;Bellova
88;Tøída Generála Píky
88;Tyršova
88;Svatoplukova
88;Skopalíkova
88;Milady Horákové
87;Vychodilova
87;Slavíèkova
87;Kyjevská
86;Berkova
85;Palachovo Námìstí
84;Køiíkova
84;Kovaøovicova
83;Zámecká
82;ebìtínská
82;Bosonoská
81;Slovanské Námìstí
81;Skoøepka
80;Kamínky
79;Tuøanka
79;Praská
79;Námìstí Republiky
79;Františkánská
79;Bøezinova
78;Rumištì
78;Hoppova
78;Bzenecká
77;Lesnická
76;Kuršova
76;Boøetická
75;Sokolská
75;Rotalova
75;Novomìstská
75;K Babì
74;Špitálka
74;Zoubkova
74;Moldavská
74;Líšeòská
74;Hálkova
73;Durïákova
73;Akademická
72;Nopova
72;Herèíkova
71;Valouškova
71;Poznaòská
70;Wollmanova
70;Skandinávská
70;Panská
69;Škroupova
69;U Zoologické Zahrady
69;Kšírova
68;Èechyòská
68;Zámeènická
67;Opavská
66;Øípská
66;Hrázka
66;Foerstrova
65;Korejská
63;Klatovská
62;Tìsnohlídkova
62;Blatnická
