ULICE,město,POCET celkem,POCET doprava
Firemní,Brno,1,
Fišova,Brno,10,
Fleischnerova,Brno,28,2
Florianova,Brno,43,1
Foerstrova,Brno,69,3
Foltýnova,Brno,102,4
Foustkova,Brno,2,
Francouzská,Brno,43,2
Františky Skaunicové,Brno,3,
Františky Stránecké,Brno,4,
Františkánská,Brno,81,2
Franzova,Brno,3,
Fričova,Brno,3,
Fryčajova,Brno,29,5
Fügnerova,Brno,8,2
Gabriely Preissové,Brno,46,1
Gajdošova,Brno,329,4
Galandauerova,Brno,11,
Gallašova,Brno,10,1
Gargulákova,Brno,9,2
Gebauerova,Brno,28,1
Geislerova,Brno,31,2
Gellnerova,Brno,1,
Glinkova,Brno,19,4
Glocova,Brno,1,
Goldova,Brno,1,1
Gorazdova,Brno,379,2
Gorkého,Brno,483,4
Grmelova,Brno,38,1
Grohova,Brno,105,3
Gromešova,Brno,3,
Gruzínská,Brno,96,3
Haasova,Brno,19,2
Habřinova,Brno,1,
Halasovo Náměstí,Brno,91,42
Hansmannova,Brno,15,
Hanácká,Brno,6,4
Hapalova,Brno,28,6
Havelkova,Brno,62,3
Havlenova,Brno,124,10
Havlišova,Brno,26,
Havláskova,Brno,1,
Havlíčkova,Brno,35,
Havraní,Brno,7,2
Havránkova,Brno,32,
Haškova,Brno,58,4
Heinrichova,Brno,19,
Helceletova,Brno,2,
Heleny Malířové,Brno,41,5
Helenčina,Brno,13,
Helfertova,Brno,869,
Herbenova,Brno,3,
Herčíkova,Brno,79,7
Heršpická,Brno,58,38
Heydukova,Brno,1,1
Heyrovského,Brno,38,1
Heřmánková,Brno,1,
Hilleho,Brno,28,
Hladíkova,Brno,1,1
Hlavní,Brno,216,5
Hlaváčkova,Brno,15,
Hlaváčova,Brno,12,
Hlinky,Brno,594,3
Hliník,Brno,2,2
Hluboká,Brno,1,1
Hněvkovského,Brno,294,7
Hoblíkova,Brno,30,10
Hochmanova,Brno,17,3
Hodonínská,Brno,42,6
Holandská,Brno,312,15
Holzova,Brno,57,2
Hoppova,Brno,80,2
Horní,Brno,12,2
Horníkova,Brno,32,5
Horova,Brno,197,6
Horská,Brno,2,1
Horymírova,Brno,2,1
Horácké Náměstí,Brno,117,8
Horákova,Brno,8,1
Hostinského,Brno,120,
Hostislavova,Brno,1,
Houbalova,Brno,17,13
Houškova,Brno,1,
Hoštická,Brno,17,2
Hrad Veveří,Brno,1,
Hrad Špilberk,Brno,1,
Hradecká,Brno,154,115
Hraničky,Brno,18,2
Hrnčířská,Brno,414,13
Hromádkova,Brno,61,1
Hroznová,Brno,3,2
Hrozňatova,Brno,7,1
Hrubého,Brno,22,
Hrušňová,Brno,2,
Hrázka,Brno,68,2
Hrázní,Brno,584,44
Hubrova,Brno,8,3
Hudcova,Brno,47,6
Hujíčkova,Brno,1,
Humenná,Brno,8,
Husitská,Brno,222,5
Husova,Brno,312,2
Husovická,Brno,41,4
Husovický Tunel,Brno,1,
Hutařova,Brno,58,1
Hviezdoslavova,Brno,9,6
Hvozdecká,Brno,45,1
Hvězdová,Brno,176,5
Hvězdárenská,Brno,6,
Hybešova,Brno,1435,16
Hájkova,Brno,11,3
Hálkova,Brno,77,3
Högrova,Brno,6,
Húskova,Brno,33,6
Ibsenova,Brno,36,1
Irkutská,Brno,23,3
Ivanovické Náměstí,Brno,6,1
Jabloňová,Brno,13,1
Jahodová,Brno,7,4
Jakuba Obrovského,Brno,32,7
Jakubská,Brno,95,
Jakubské Náměstí,Brno,203,1
Jamborova,Brno,31,
Jana Babáka,Brno,103,6
Jana Nečase,Brno,5,
Jana Svobody,Brno,31,1
Jana Uhra,Brno,295,16
Jandáskova,Brno,1,
Janouškova,Brno,38,7
Janáčkovo Náměstí,Brno,14,
Jarní,Brno,6,2
Jasanová,Brno,16,7
Jaselská,Brno,105,
Javorová,Brno,1,
Jedlová,Brno,4,
Jedovnická,Brno,43,7
Jehličnatá,Brno,3,
Jehnická,Brno,3,
Jelínkova,Brno,14,
Jemelkova,Brno,60,2
Jeneweinova,Brno,35,6
Jeronýmova,Brno,16,1
Jezerní,Brno,1,1
Jezuitská,Brno,430,9
Ječná,Brno,25,1
Jeřabinová,Brno,4,
Jeřábkova,Brno,16,
Ježkova,Brno,8,2
Jihlavská,Brno,306,11
Jihomoravské Náměstí,Brno,15,9
Jilemnického,Brno,24,1
Jindřichova,Brno,18,4
Jircháře,Brno,18,1
Jiránkova,Brno,11,2
Jiráskova,Brno,191,1
Jiříkovského,Brno,12,
Jižní Náměstí,Brno,1,1
Josefská,Brno,140,11
Josefy Faimonové,Brno,72,13
Joukalova,Brno,11,
Joštova,Brno,134,6
Joštova-6,Brno,2,
Jožky Jabůrkové,Brno,1,
Jubilejní,Brno,3,3
Jugoslávská,Brno,552,17
Juliánovské Náměstí,Brno,28,24
Jundrov,Brno,1,
Jundrovská,Brno,5,3
Jungmannova,Brno,15,1
Junácká,Brno,2,
Juranka,Brno,1,1
Jurkovičova,Brno,10,
Jánošíkova,Brno,5,2
Jánská,Brno,221,3
Járy Cimrmana,Brno,2,
Jílkova,Brno,43,8
Jílová,Brno,40,18
Jírova,Brno,40,23
Jírovcova,Brno,51,7
K Babě,Brno,77,2
K Bukovinám,Brno,7,1
K Dálnici,Brno,3,
K Lesu,Brno,5,1
K Lázinkám,Brno,1,
K Rybníku,Brno,5,
K Sídlišti,Brno,1,
K Terminálu,Brno,12,
K Západi,Brno,9,5
Kabátníkova,Brno,10,
Kachlíkova,Brno,24,4
Kainarova,Brno,3,
Kaleckého,Brno,14,
Kallabova,Brno,15,1
Kaloudova,Brno,9,
Kalvodova,Brno,13,
Kamanova,Brno,30,1
Kamechy,Brno,53,41
Kamenačky,Brno,26,
Kamenice,Brno,173,71
Kamenná,Brno,97,3
Kamenomlýnský Most,Brno,2,
Kameníčkova,Brno,6,1
Kampelíkova,Brno,6,
Kamínky,Brno,87,7
Kapucínské Náměstí,Brno,686,2
Karkulínova,Brno,1,1
Karlova,Brno,4,
Karolíny Světlé,Brno,3,2
Karpatská,Brno,2,
Kartouzská,Brno,31,3
Karáskovo Náměstí,Brno,37,5
Kavčí,Brno,16,1
Kaštanová,Brno,32,11
Ke Statku,Brno,27,1
Kejbaly,Brno,8,
Kellnerova,Brno,4,
Keřová,Brno,8,
Kigginsova,Brno,13,
Kladivova,Brno,9,
Klajdovská,Brno,13,1
Klarisky,Brno,24,
Klatovská,Brno,169,106
Klecandova,Brno,9,
Klimešova,Brno,7,6
Klobouček,Brno,1,
Klobásova,Brno,6,1
Klokočí,Brno,1,
Kluchova,Brno,9,1
Klusáčkova,Brno,53,
Klácelova,Brno,16,
Klášterského,Brno,6,3
Klímova,Brno,90,41
Klíny,Brno,10,
Klíčova,Brno,44,
Kneslova,Brno,31,10
Kníničská,Brno,10,9
Kobližná,Brno,104,4
Kobylnická,Brno,4,2
Kociánka,Brno,3,3
Kohoutova,Brno,11,
Kohoutovická,Brno,5,3
Kolaříkova,Brno,36,4
Kolejní,Brno,175,53
Koliště,Brno,187,8
Kollárova,Brno,28,1
Koláčkova,Brno,6,
Kolískova,Brno,10,1
Komenského Náměstí,Brno,41,1
Komprdova,Brno,7,1
Komárovská,Brno,8,
Komárovské Nábřeží,Brno,3,2
Komínská,Brno,32,
Konečného Náměstí,Brno,12,1
Koniklecová,Brno,186,19
Konopná,Brno,61,1
Konradova,Brno,35,7
Konrádova,Brno,1,1
Koperníkova,Brno,31,2
Kopečná,Brno,523,5
Korejská,Brno,66,1
Kosmonautů,Brno,18,3
Kosmova,Brno,24,20
Kosmákova,Brno,37,5
Kosíkova,Brno,6,
Kotkova,Brno,2,
Kotlanova,Brno,27,5
Kotlářská,Brno,253,6
