1;MISTO
1;1. Kvìtna
39;Absolonova
11;Adamcova
25;Adamovská
73;Akademická
2;Akátky
1;Akátová
12;Alešova
1;Ambroova
22;Amerlingova
2;Andrıskova
61;Anenská
14;Antala Staška
54;Antonína Macka
3;Antonína Procházky
11;Antonína Slavíka
335;Antonínská
21;Arbesova
18;Arménská
9;Arne Nováka
1;Auerswaldova
13;Axmanova
5;Azurová
6;Baarovo Nábøeí
2;Babická
25;Babièkova
188;Bakalovo Nábøeí
4;Balbínova
17;Banskobystrická
4;Bartolomìjská
8;Bartošova
7;Bartákova
7;Barvièova
10;Barvy
35;Barvíøská
7;Bauerova
182;Bayerova
1;Baèovského
38;Bašného
218;Bašty
2;Bednaøíkova
4;Bednáøova
1;Bedøichovická
268;Beethovenova
1;Belcrediho
93;Bellova
8;Bendlova
1819;Benešova
89;Berkova
1;Bernáèkova
23;Besední
3;Bezejmenná
1;Bezinková
247;Bezruèova
3;Bešùvka
11;Bidláky
178;Bieblova
826;Biskupská
461;Björnsenùv Sad
1;Blanenská
67;Blatnická
15;Blatného
29;Blatouchová
13;Blakova
4;Blaovická
5;Blodkova
2;Blümlova
18;Bochoøákova
13;Boettingrova
1;Bohatcova
30;Bohunická
29;Bohuslava Martinù
57;Bohuòova
24;Bolzanova
14;Borky
9;Borodinova
4;Boskovická
87;Bosonoská
22;Bosonoské Námìstí
609;Botanická
86;Boøetická
3;Boøivojova
50;Boeny Nìmcové
156;Boetìchova
29;Brandlova
1;Branka
728;Bratislavská
2;Bratøí Køièkù
3;Bratøí Mrštíkù
4;Bratøí Pelíškù
31;Bratøí Èapkù
4;Bratøí ùrkù
19;Brechtova
4;Breitcetlova
2;Brigádnická
10;Brno
5;Brnìnky
5;Broskvoòová
50;Broíkova
33;Bráfova
242;Bubeníèkova
5;Buchtova
2;Budovcova
1;Buková
112;Bulharská
99;Burešova
22;Burianovo Námìstí
25;Buzkova
3;Buèkova
4;Buèovická
8;Bystrcká
21;Bystøinova
92;Bzenecká
7;Bílovická
2;Bílá Hora
2;Bílého
2;Bítešská
4;Böhmova
399;Bìhounská
5;Bìlidla
35;Bìlohorská
33;Bìloruská
5;Bìly Paoutové
6;Bøeclavská
30;Bøenkova
82;Bøezinova
41;Bøezová
15;Cacovice
33;Cacovická
507;Cejl
1;Celní
12;Chalabalova
38;Chaloupeckého Námìstí
4;Chaloupkova
13;Chaloupky
69;Charbulova
59;Charvatská
10;Chelèického
7;Chironova
2;Chleborádova
1;Chlubnova
18;Chlupova
34;Chládkova
2;Chmelnice
126;Chodská
36;Chopinova
12;Chrlická
3;Chrlické Námìstí
14;Chrpová
3;Chudobova
36;Chudèická
5;Churého
32;Chvalovka
214;Cihláøská
13;Cimburkova
8;Colova
82;Cornovova
16;Cyrilská
22;Dalimilova
13;Daèického
3;Demlova
12;Denisovy Sady
10;Desátková
2;Dillingerova
232;Divadelní
1;Divišova
301;Dlouhá
6;Dlouhé Hony
1;Dládìná
44;Dobrovského
14;Dolealova
5;Dolnopolní
3;Dolní Louky
21;Domalická
55;Dominikánská
515;Dominikánské Námìstí
1731;Dornych
43;Došlíkova
3;Drdy
209;Drobného
55;Drustevní
2;Drápelova
19;Drání
6;Drèkova
72;Dubová
1;Dudíkova
5;Dufkovo Nábøeí
169;Dukelská Tøída
9;Dulánek
14;Dunajevského
273;Dunajská
77;Durïákova
18;Dusíkova
3;Dvorecká
54;Dvorského
2;Dvoøištì
169;Dvoøákova
2;Dykova
1;Díly
34;Dìdická
307;Dìlnická
207;Døevaøská
4;Eimova
19;Eleonory Voraèické
7;Elgartova
1;Eliášova
63;Elišky Krásnohorské
11;Elišky Machové
6;Elišky Pøemyslovny
8;Elplova
5;Erbenova
1;Evropská
64;Eèerova
1;Famìrovo Námìstí
10;Fanderlíkova
1;Farní
1;Farského
3;Ferrerova
37;Filipova
6;Filipínského
1;Filkukova
42;Fillova
1;Firemní
10;Fišova
28;Fleischnerova
43;Florianova
69;Foerstrova
102;Foltınova
2;Foustkova
43;Francouzská
3;Františky Skaunicové
4;Františky Stránecké
81;Františkánská
3;Franzova
3;Frièova
29;Fryèajova
8;Fügnerova
46;Gabriely Preissové
329;Gajdošova
11;Galandauerova
10;Gallašova
9;Gargulákova
28;Gebauerova
31;Geislerova
1;Gellnerova
19;Glinkova
1;Glocova
1;Goldova
379;Gorazdova
483;Gorkého
38;Grmelova
105;Grohova
3;Gromešova
96;Gruzínská
19;Haasova
1;Habøinova
91;Halasovo Námìstí
15;Hansmannova
6;Hanácká
28;Hapalova
62;Havelkova
124;Havlenova
26;Havlišova
1;Havláskova
35;Havlíèkova
7;Havraní
32;Havránkova
58;Haškova
19;Heinrichova
2;Helceletova
41;Heleny Malíøové
13;Helenèina
869;Helfertova
3;Herbenova
79;Herèíkova
58;Heršpická
1;Heydukova
38;Heyrovského
1;Heømánková
28;Hilleho
1;Hladíkova
216;Hlavní
